unit_id,cip4,earn_mdn_4yr,earn_n
166638.0,5138,95648.0,401.0
232186.0,4301,69511.0,401.0
217235.0,3103,56241.0,400.0
190637.0,5202,62496.0,400.0
445708.0,3103,56241.0,400.0
460349.0,3103,56241.0,400.0
196097.0,5202,72765.0,399.0
182281.0,5209,58719.0,399.0
445708.0,5209,55790.0,398.0
132903.0,5138,83737.0,398.0
217235.0,5209,55790.0,398.0
460349.0,5209,55790.0,398.0
110547.0,4201,52742.0,398.0
183026.0,5004,51370.0,397.0
126562.0,5138,84950.0,397.0
209065.0,5138,109374.0,396.0
169798.0,5138,85611.0,396.0
228459.0,5214,71539.0,396.0
184782.0,4201,51878.0,396.0
180814.0,5201,71128.0,395.0
204176.0,5138,77510.0,395.0
110680.0,2601,64437.0,395.0
144281.0,5004,48601.0,395.0
228769.0,2401,54975.0,395.0
137351.0,1101,90953.0,395.0
196097.0,5100,77075.0,395.0
203474.0,4201,42328.0,393.0
228723.0,4201,58396.0,393.0
203517.0,4201,42328.0,393.0
199120.0,4201,57477.0,393.0
203526.0,4201,42328.0,393.0
203492.0,4201,42328.0,393.0
203483.0,4201,42328.0,393.0
142115.0,5138,91491.0,393.0
203465.0,4201,42328.0,393.0
203447.0,4201,42328.0,393.0
203456.0,4201,42328.0,393.0
110574.0,5100,68231.0,392.0
181394.0,2401,55947.0,392.0
214777.0,4506,81228.0,392.0
479956.0,4506,81228.0,392.0
177968.0,5201,63524.0,392.0
214591.0,4506,81228.0,392.0
214713.0,4506,81228.0,392.0
234030.0,0901,59968.0,391.0
216339.0,4201,50582.0,391.0
170976.0,4506,110552.0,391.0
169248.0,3105,57771.0,391.0
203474.0,5202,62265.0,390.0
203483.0,5202,62265.0,390.0
134097.0,4510,68059.0,390.0
203517.0,5202,62265.0,390.0
203447.0,5202,62265.0,390.0
203517.0,5219,61055.0,390.0
203526.0,5202,62265.0,390.0
203492.0,5202,62265.0,390.0
193900.0,5005,42348.0,390.0
203465.0,5202,62265.0,390.0
110583.0,4511,51982.0,389.0
129020.0,0901,68542.0,388.0
110653.0,4504,57935.0,388.0
436836.0,0901,68542.0,388.0
436827.0,0901,68542.0,388.0
463056.0,0901,68542.0,388.0
436818.0,0901,68542.0,388.0
122597.0,0901,63731.0,388.0
463056.0,4506,81881.0,387.0
129020.0,4506,81881.0,387.0
436827.0,4506,81881.0,387.0
436818.0,4506,81881.0,387.0
179566.0,1312,38413.0,387.0
436836.0,4506,81881.0,387.0
133669.0,4301,53545.0,386.0
110583.0,5203,74839.0,386.0
140951.0,1003,43058.0,385.0
100751.0,5138,85532.0,385.0
230737.0,4201,47596.0,384.0
436827.0,4201,57961.0,384.0
110680.0,1107,159487.0,384.0
436818.0,4201,57961.0,384.0
145637.0,4227,60168.0,384.0
129020.0,4201,57961.0,384.0
110608.0,5203,92329.0,384.0
436836.0,4201,57961.0,384.0
229115.0,3105,59001.0,384.0
192819.0,5202,90855.0,384.0
110680.0,3020,81174.0,384.0
216339.0,5214,72289.0,384.0
463056.0,4201,57961.0,384.0
163286.0,4506,83880.0,383.0
186380.0,4510,63765.0,382.0
186371.0,4510,63765.0,382.0
126580.0,5202,66553.0,382.0
186399.0,4510,63765.0,382.0
218663.0,5138,80768.0,380.0
209551.0,5201,83543.0,380.0
497833.0,5138,81706.0,380.0
151786.0,5138,81706.0,380.0
209551.0,4501,57532.0,380.0
110653.0,5206,77807.0,379.0
232423.0,5115,67033.0,379.0
228796.0,4301,47681.0,378.0
186399.0,2601,68306.0,378.0
170082.0,5214,69592.0,378.0
186371.0,2601,68306.0,378.0
186380.0,2601,68306.0,378.0
220075.0,5138,74311.0,378.0
144740.0,0909,71045.0,378.0
216339.0,3105,63714.0,378.0
139959.0,5208,97364.0,377.0
216339.0,5208,85011.0,377.0
174020.0,5138,83504.0,377.0
126614.0,5202,86441.0,377.0
110608.0,1907,45088.0,377.0
196088.0,4501,56257.0,376.0
196088.0,4201,52303.0,376.0
234030.0,5004,53575.0,376.0
193900.0,1101,142495.0,376.0
191126.0,0909,69954.0,376.0
196060.0,4201,55004.0,375.0
193900.0,2401,66502.0,375.0
179043.0,5138,79817.0,375.0
104717.0,4402,46973.0,375.0
130493.0,2401,53411.0,375.0
133669.0,4201,48754.0,375.0
171100.0,4201,56040.0,374.0
177065.0,2401,57034.0,373.0
172699.0,5214,71371.0,373.0
236939.0,4501,61617.0,372.0
105330.0,5202,66376.0,372.0
214591.0,1410,93277.0,371.0
214643.0,1410,93277.0,371.0
214777.0,1410,93277.0,371.0
214713.0,1410,93277.0,371.0
190567.0,4201,56223.0,371.0
110565.0,5007,44365.0,370.0
184694.0,2401,60525.0,370.0
184603.0,2401,60525.0,370.0
183044.0,4201,56153.0,369.0
183257.0,4201,56153.0,369.0
183071.0,4201,56153.0,369.0
196097.0,4201,58137.0,369.0
199999.0,5138,84952.0,369.0
171128.0,1419,88860.0,368.0
